"Choose payment method...", "Valitse maksutapa"
"You will be redirected to Checkout Finland page, when you place an order.","Sinut ohjataan Checkout Finlandin sivuille, missä voit maksaa tilauksen."
"Order was canceled by user","Asiakas perui maksun"
"You will be redirected to service provider in a few seconds...","Sinut ohjataan palveluntarjoajan sivuille muutamassa sekunnissa.."
"Customer was redirected to Checkout Finland","Asiakas ohjattiin Checkout Finlandin sivuille"
"Payment method is currently unavailable","Maksutapa ei ole valittavissa"
"Payment approved","Maksu hyväksytty"
"Payment is being processed by service provider","Maksu on prosessoitu palveluntarjoajan toimesta."
"Payment was rejected by service provider","Maksu on hylätty palveluntarjoajan toimesta"
"Invalid payment status received from Checkout Finland","Maksun tilaa ei ole saatu Checkout Finlandilta"
"Customer was redirected to Checkout Finland","Asiakas ohjattiin Checkout Finlandin sivuille"
"Cannot find order","Tilausta ei löydetty"
"Payment method: %s","Maksutapa: %s"
"Enabled","Käytössä"
"Merchant ID","Kauppiastunnus"
"Authentication code","Salasana"
"Title","Otsikko"
"Sort order","Järjestä tilaukset"
"May have adult content","Voi sisältää aikuisviihdettä"
"Create invoice automatically","Luo lasku automaattisesti"
"For approved payments","Hyväksytyille tilauksille"
"New payment status","Uusi maksu tila"
"Approved payment status","Hyväksytyn maksun tila"
"Delayed payment status","Viivästyneen maksun tila"
"Rejected payment status","Hylätyn maksun tila"
"Canceled order redirect url","Peruttu tilaus URL"
"Use bank select","Käytä pankin valintaa"
"Show available methods on checkout page","Näytä valittavissa olevat maksutavat kassa sivulla"
"Allowed payment methods","Hyväksytyt maksutavat"
"Select one or more payment methods","Valitse yksi tai useampi maksutapa"
"Use XML mode","Käytä XML tilaa"
"There are no payment methods available at the moment","Maksutapoja ei ole tällä hetkellä saatavilla"
"Cancel payment","Peruuta maksu"
